Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20210127|EFA|2403047|2530|2910723|B,Q,N
20210127|EFAD|2758|0|6412|Q
20210127|EFAS|1188|0|1781|Q
20210127|EFAV|50885|0|368680|Q
20210127|EFAX|1698|0|2497|Q,N
20210127|EFC|51335|16|82677|B,Q,N
20210127|EFCpA|2306|0|4917|Q,N
20210127|EFF|1752|0|3798|Q
20210127|EFG|184132|0|281789|B,Q,N
20210127|EFIV|1322|0|1510|Q,N
20210127|EFL|5928|0|11760|Q,N
20210127|EFNL|30547|0|51224|Q,N
20210127|EFO|9962|0|10926|Q,N
20210127|EFOI|13874|0|45599|Q,N
20210127|EFR|2164|0|7723|Q
20210127|EFSC|9394|0|18858|Q,N
20210127|EFT|6936|0|14424|Q,N
20210127|EFU|1029|0|1232|Q,N
20210127|EFV|612567|3764|2209413|Q,N
20210127|EFX|121854|0|189401|B,Q,N
20210127|EFZ|2618|0|2797|Q,N
20210127|EGAN|178320|5059|394542|B,Q,N
20210127|EGBN|18022|0|24998|Q,N
20210127|EGF|969|0|2863|Q
20210127|EGHT|321081|0|995332|B,Q,N
20210127|EGIS|30|0|81|Q
20210127|EGLE|27304|0|33478|B,Q,N
20210127|EGO|288812|3471|824337|B,Q,N
20210127|EGOV|38650|0|102798|Q,N
20210127|EGP|17214|0|29086|Q,N
20210127|EGPT|12|0|783|Q
20210127|EGRX|36678|0|52867|Q,N
20210127|EGY|94963|2241|161538|Q,N
20210127|EH|420464|18936|1148610|B,Q,N
20210127|EHC|205650|0|724582|B,Q,N
20210127|EHI|8952|0|25934|Q
20210127|EHT|12355|0|18554|Q,N
20210127|EHTH|156588|30|687305|B,Q,N
20210127|EIC|1004|0|2234|Q,N
20210127|EIDO|513403|0|558182|B,Q,N
20210127|EIG|8050|0|15979|Q,N
20210127|EIGI|103701|0|462284|Q,N
20210127|EIGR|85872|50|124428|Q,N
20210127|EIM|17705|0|68178|Q,N
20210127|EINC|1|0|513|Q
20210127|EIRL|186|0|2312|Q,N
20210127|EIS|9239|0|15958|B,Q,N
20210127|EIX|296662|2713|617014|Q,N
20210127|EJAN|13951|0|17460|Q,N
20210127|EJUL|100|0|7961|Q
20210127|EKAR|1718|0|11237|B,Q,N
20210127|EKSO|20238|526|99016|B,Q,N
20210127|EL|215318|13|677619|B,Q,N
20210127|ELA|36362|100|53991|Q,N
20210127|ELAN|326578|5|1286052|B,Q,N
20210127|ELAT|1419|0|1844|Q
20210127|ELC|2043|0|4898|Q,N
20210127|ELD|9317|0|39086|B,Q,N
20210127|ELDN|5655|11|12847|Q,N
20210127|ELF|103278|0|302394|Q,N
20210127|ELLO|19|0|322|Q
20210127|ELMD|17647|100|28418|Q,N
20210127|ELOX|19709|0|35679|Q,N
20210127|ELP|64171|1520|88293|Q,N
20210127|ELS|100301|778|408704|B,Q,N
20210127|ELSE|6773|120|55811|Q,N
20210127|ELTK|392|0|17373|Q,N
20210127|ELVT|65765|1100|102611|Q,N
20210127|ELY|155990|54|754716|B,Q,N
20210127|ELYS|576902|82495|1807974|B,Q,N
20210127|EMAN|325843|27496|973534|B,Q,N
20210127|EMB|1060725|0|2393365|Q,N
20210127|EMBD|1076|0|4529|Q,N
20210127|EMCB|362|0|604|Q
20210127|EMD|20382|0|66364|Q,N
20210127|EMDV|28|0|735|Q,N
20210127|EME|30056|0|51846|B,Q,N
20210127|EMF|11180|0|28277|Q,N
20210127|EMFM|676|0|3156|Q,N
20210127|EMGF|3279|0|26756|Q,N
20210127|EMHY|12991|0|26264|Q,N
20210127|EMIF|247|0|717|B,Q,N
20210127|EMKR|34361|0|79845|Q,N
20210127|EML|4568|0|5022|Q,N
20210127|EMLC|357153|2931|1096304|Q,N
20210127|EMLP|56120|0|265155|Q,N
20210127|EMMF|83|0|106|Q
20210127|EMN|154770|0|363402|Q,N
20210127|EMNT|218|0|4706|Q,N
20210127|EMO|5743|100|21143|Q,N
20210127|EMP|997|0|2667|Q
20210127|EMPW|1378|0|3614|B,Q,N
20210127|EMPW/WS|16384|0|20870|Q,N
20210127|EMQQ|125005|535|346422|B,Q,N
20210127|EMR|289238|2500|1062872|B,Q,N
20210127|EMSG|369|0|1082|Q,N
20210127|EMTL|1910|0|5207|Q,N
20210127|EMTY|17332|1|41165|Q,N
20210127|EMX|80686|462|183910|B,Q,N
20210127|EMXC|15651|0|59856|Q,N
20210127|EMXF|77|0|628|Q,N
20210127|ENB|227878|2967|1165592|B,Q,N
20210127|ENBA|10839|0|21334|B,Q,N
20210127|ENBL|58199|0|214630|B,Q,N
20210127|ENDP|1141142|6009|1722584|B,Q,N
20210127|ENFAU|7604|0|183083|Q,N
20210127|ENFR|5482|0|18825|Q,N
20210127|ENG|345385|5057|1378581|B,Q,N
20210127|ENIA|114228|9|247720|Q,N
20210127|ENIC|12298|0|56256|B,Q,N
20210127|ENJ|500|0|500|Q
20210127|ENLC|423194|21|933196|B,Q,N
20210127|ENLV|3149|0|24049|Q,N
20210127|ENO|463|0|2115|Q
20210127|ENOB|15892|0|34681|B,Q,N
20210127|ENOR|824|0|1900|B,Q,N
20210127|ENPC|5329|0|11907|Q
20210127|ENPC/U|1|0|426|N
20210127|ENPC/WS|550|0|550|Q
20210127|ENPH|413742|17063|1590931|B,Q,N
20210127|ENR|26882|31|130790|B,Q,N
20210127|ENRpA|190|0|730|Q
20210127|ENS|39391|0|92503|B,Q,N
20210127|ENSG|37981|0|95829|B,Q,N
20210127|ENSV|66410|3100|385295|B,Q,N
20210127|ENTA|43249|0|61587|B,Q,N
20210127|ENTG|86933|2|203525|B,Q,N
20210127|ENTR|27566|0|39049|Q,N
20210127|ENTX|76586|900|406659|B,Q,N
